Invoice_ID,Customer_ID,Gender,Age,City,Product_Category,Product_Name,Quantity,Price_Per_Unit,Total_Amount,Payment_Method,Date_of_Purchase,Discount_Percent,Final_Amount,Loyalty_Customer
BB1001,CUST583,Male,21,Ahmedabad,Household,Doormat,10,224.45,2244.5,Cash,2025-05-06,10,2020.05,No
BB1002,CUST766,Male,41,Bangalore,Furniture,Table,2,270.05,540.1,Credit Card,2025-04-04,15,459.08,Yes
BB1003,CUST285,Male,64,Surat,Groceries,Paneer,9,436.59,3929.31,UPI,2024-12-01,20,3143.45,No
BB1004,CUST381,Female,30,Nagpur,Electronics,Power Bank,6,254.36,1526.16,Wallet,2024-10-03,15,1297.24,No
BB1005,CUST979,Male,63,Pune,Sports,Dumbbells,2,262.23,524.46,Wallet,2025-01-04,5,498.24,Yes
BB1006,CUST482,Male,32,Thane,Electronics,Power Bank,6,419.64,2517.84,Credit Card,2024-11-26,20,2014.27,No
BB1007,CUST435,Male,63,Indore,Beauty,Shampoo,10,292.62,2926.2,Cash,2025-04-13,0,2926.2,Yes
BB1008,CUST427,Female,23,Kolkata,Stationery,Notebook,10,171.05,1710.5,UPI,2024-10-20,20,1368.4,No
BB1009,CUST935,Female,58,Delhi,Stationery,Whiteboard Marker,7,107.18,750.26,Wallet,2024-12-22,10,675.23,No
BB1010,CUST192,Male,36,Chandigarh,Household,Broom,4,96.46,385.84,UPI,2025-01-30,10,347.26,No
BB1011,CUST996,Female,36,Jaipur,Beauty,Sunscreen,6,165.91,995.46,Cash,2025-05-29,10,895.91,Yes
BB1012,CUST993,Female,51,Surat,Stationery,Scissors,8,300.86,2406.88,UPI,2025-01-01,15,2045.85,Yes
BB1013,CUST920,Female,19,Bangalore,Household,Dustbin,9,272.75,2454.75,Cash,2024-10-12,10,2209.28,Yes
BB1014,CUST942,Male,34,Chandigarh,Toys & Games,Board Game,5,146.18,730.9,Credit Card,2025-04-03,15,621.26,No
BB1015,CUST205,Male,46,Patna,Kitchen,Chopping Board,1,236.23,236.23,UPI,2025-02-12,0,236.23,Yes
BB1016,CUST924,Female,47,Thane,Electronics,Smartwatch,7,421.58,2951.06,Cash,2024-09-30,5,2803.51,Yes
BB1017,CUST347,Female,54,Chennai,Stationery,Marker,2,324.21,648.42,UPI,2025-05-29,10,583.58,No
BB1018,CUST449,Female,36,Delhi,Kitchen,Non-stick Pan,4,310.03,1240.12,Credit Card,2025-06-25,20,992.1,Yes
BB1019,CUST579,Male,48,Nagpur,Stationery,Highlighter,8,128.0,1024.0,UPI,2025-04-23,10,921.6,No
BB1020,CUST336,Male,29,Ahmedabad,Furniture,Wardrobe Organizer,9,236.71,2130.39,Cash,2025-05-27,15,1810.83,Yes
BB1021,CUST780,Female,25,Ranchi,Electronics,Microwave,4,327.4,1309.6,Credit Card,2024-10-22,10,1178.64,No
BB1022,CUST492,Female,60,Ahmedabad,Groceries,Jaggery,2,389.65,779.3,Credit Card,2025-03-25,5,740.33,No
BB1023,CUST685,Female,42,Bangalore,Stationery,Stapler,4,359.03,1436.12,Credit Card,2025-05-25,15,1220.7,No
BB1024,CUST691,Male,52,Chennai,Furniture,Plastic Stool,10,308.95,3089.5,Credit Card,2025-03-08,20,2471.6,Yes
BB1025,CUST702,Female,63,Bangalore,Beauty,Deodorant,6,410.78,2464.68,Credit Card,2024-12-20,10,2218.21,No
BB1026,CUST890,Female,55,Ranchi,Apparel,Jeans,1,493.08,493.08,Cash,2024-08-06,20,394.46,No
BB1027,CUST960,Male,25,Indore,Furniture,Sofa Cover,1,347.64,347.64,UPI,2024-12-06,10,312.88,Yes
BB1028,CUST877,Female,44,Ahmedabad,Apparel,Track Pants,1,53.86,53.86,Credit Card,2025-02-09,20,43.09,Yes
BB1029,CUST101,Male,32,Kolkata,Kitchen,Tiffin Box,7,394.37,2760.59,UPI,2025-05-31,15,2346.5,No
BB1030,CUST437,Female,19,Pune,Furniture,Table,3,341.8,1025.4,Cash,2025-06-19,10,922.86,No
BB1031,CUST663,Female,48,Ranchi,Apparel,Socks,1,427.72,427.72,Cash,2024-12-22,15,363.56,Yes
BB1032,CUST734,Female,18,Jaipur,Household,Mop,5,440.2,2201.0,UPI,2025-05-13,5,2090.95,Yes
BB1033,CUST747,Female,39,Hyderabad,Sports,Football,4,383.34,1533.36,UPI,2024-10-04,20,1226.69,No
BB1034,CUST759,Female,46,Nagpur,Toys & Games,Rubik Cube,3,220.23,660.69,Credit Card,2025-04-21,20,528.55,Yes
BB1035,CUST553,Male,25,Chandigarh,Furniture,Foldable Table,9,187.16,1684.44,Cash,2025-01-17,0,1684.44,Yes
BB1036,CUST711,Female,36,Surat,Sports,Cricket Bat,5,306.55,1532.75,Cash,2024-07-06,5,1456.11,No
BB1037,CUST111,Female,63,Chennai,Sports,Water Bottle,6,79.01,474.06,UPI,2025-03-21,10,426.65,Yes
